"index","track_id","artists","album_name","track_name","popularity","duration_ms","explicit","energy","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","supergenre_id","supergenre_dummy","danceability"
0,"5SuOikwiRyPMVoIQDJUgSV","Gen Hoshino","Comedy","Comedy",73,230666,FALSE,0.461,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,87.917,4,5,"singer_early_pop",0.66
6,"6Vc5wAMmXdKIAM7WUoEb7N","A Great Big World;Christina Aguilera","Is There Anybody Out There?","Say Something",74,229400,FALSE,0.147,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3,5,"singer_early_pop",0.77
11,"5ivF4eQBqJiVL5IAE9jRyl","Jason Mraz","Love Is a Four Letter Word","I Won't Give Up",69,240165,FALSE,0.303,-10.058,1,0.0429,0.694,0,0.115,0.139,133.406,3,5,"singer_early_pop",0.69
15,"1KHdq8NK9QxnGjdXb55NiG","Landon Pigg","The Boy Who Never","Falling in Love at a Coffee Shop",58,244986,FALSE,0.561,-7.933,1,0.0274,0.2,4.56e-05,0.179,0.238,83.457,3,5,"singer_early_pop",0.49
19,"6CgNoAbFJ4Q4Id4EjtbXlC","Boyce Avenue;Bea Miller","Cover Sessions, Vol. 4","Photograph",67,260186,FALSE,0.32,-8.393,1,0.0283,0.83,0,0.107,0.322,107.946,4,5,"singer_early_pop",0.91
30,"3EQV1ZHtHvq9OnVRYIdbg3","Jason Mraz","Merry Christmas","Winter Wonderland",0,131760,FALSE,0.309,-9.209,1,0.0495,0.788,0,0.146,0.664,145.363,4,5,"singer_early_pop",0.49
34,"0xbMRcMFqxJq1Wa7tvWPtn","Brandi Carlile;Sam Smith","Feeling Good - Adult Pop Favorites","Party of One",0,259558,FALSE,0.206,-11.799,1,0.0412,0.782,0.000225,0.0959,0.202,165.4,4,5,"singer_early_pop",0.93
41,"1WFVfVjCtbmdIv7j3Fa9iy","Brandi Carlile","Mellow Adult Pop","When You're Wrong",0,266960,FALSE,0.301,-10.163,0,0.0373,0.796,3.37e-06,0.118,0.142,88.029,4,5,"singer_early_pop",0.49
44,"6JGjevTaqr9J1xp7YvYUKF","Brandi Carlile","Finest Country","Speak Your Mind (From the Netflix Series ""We The People"")",0,193943,FALSE,0.666,-3.438,1,0.0446,0.314,0,0.342,0.498,148.155,4,5,"singer_early_pop",0.81
47,"0JvkNRyq8Tmot9khpdtN0I","Brandi Carlile;Lucius","Good Times Country","You and Me on the Rock",0,230098,FALSE,0.686,-6.635,1,0.033,0.15,1.81e-06,0.0881,0.725,172.075,4,5,"singer_early_pop",0.42
69,"0ZwdH0m32I8odedwvspYTh","Tyler Ward","Under Covers","I Don't Wanna Live Forever (Fifty Shades Darker)",44,222351,FALSE,0.403,-11.989,1,0.033,0.603,0.00857,0.131,0.264,118.042,4,5,"singer_early_pop",0.69
74,"0Zf1BPkkFAWGtVHeBwHHz4","Ingrid Michaelson","It Doesn't Have To Make Sense","Light Me Up",56,247840,FALSE,0.595,-7.84,1,0.0396,0.158,0.000269,0.101,0.117,147.928,4,5,"singer_early_pop",0.71
76,"2SkJKMfjpYsNv0KWOxiegX","A Great Big World","When the Morning Comes","Kaleidoscope",62,229320,FALSE,0.913,-5.148,1,0.0748,0.0182,0,0.167,0.519,108.024,4,5,"singer_early_pop",0.61
81,"5IjTZ1g8KrIuV97N3OQZ0V","Gabrielle Aplin","Break Up Songs","The House We Never Built",0,195213,FALSE,0.391,-10.786,0,0.063,0.784,2.72e-06,0.0552,0.202,139.669,4,5,"singer_early_pop",0.7
92,"3Vnes7v746dYzBn0FJTZ1W","KT Tunstall","Alternative Christmas 2022","Fairytale Of New York",0,263866,FALSE,0.555,-6.018,1,0.0349,0.218,3.46e-06,0.124,0.33,117.888,3,5,"singer_early_pop",0.73
93,"30cYWLpVdBZVLb1cYdmcTT","The Civil Wars","Acoustic Christmas Campfire","I Heard The Bells On Christmas Day",0,154440,FALSE,0.145,-14.504,0,0.0422,0.872,9.68e-06,0.107,0.218,90.078,4,5,"singer_early_pop",0.87
101,"4kQXMVjoZ9yMibLZq5Aqi5","Callum J Wright","Somebody Else (Acoustic)","Somebody Else - Acoustic",50,138495,FALSE,0.38,-8.769,0,0.0477,0.762,0,0.262,0.617,114.99,4,5,"singer_early_pop",0.65
104,"068qo0w1Ki0cjnFYOUhAm2","Boyce Avenue","Stand by Me","Stand by Me",60,199019,FALSE,0.266,-7.322,1,0.0293,0.872,1.03e-05,0.114,0.307,115.189,4,5,"singer_early_pop",0.82
106,"59pUIlXjQupbiYwt40uUTi","Mone Kamishiraishi","chouchou","なんでもないや - movie ver.",49,349920,FALSE,0.161,-10.667,1,0.0388,0.971,1.4e-05,0.358,0.325,83.449,4,5,"singer_early_pop",0.8
